Subject;corr_Duration_ImpactSpeed;corr_Duration_Amplitude;corr_ImpactSpeed_Amplitude
10;-0.372505713883066;0.497485613697706;0.609777453218279
11;0.191226477463699;0.787235319846688;0.826427791737442
12;0.411773932335427;0.774758088382388;1.39166651109316
13;0.0986475979339573;0.559934403582384;1.10528224612960
14;-0.479962739470807;0.303176707526004;0.520188870532536
16;-0.380703083338869;0.400655890349443;0.700030246380423
17;-0.0848676861069055;0.351881855729988;0.951523164589564
18;0.336759236724301;1.13935733234280;0.795584745336378
19;-0.356934257898682;-0.0225990564143773;1.11389738869702
20;-0.371919404318574;0.0364298603075185;0.754093093114772
21;-0.0246440117349708;0.574758697947800;0.528125728071571
24;0.477858755784331;0.652943532438601;1.13505657069650
25;0.302307100671708;0.758148196116387;0.895089524167823
26;-0.120190708452804;0.492996887922868;0.750653005607134
27;-0.498416019492864;0.810545961899866;0.175663295664203
29;-0.693468002400453;0.244842535254272;0.317279655689770
30;0.0820591946045554;0.594547033477912;0.950707780503747
31;0.271496051583035;0.983376553919148;0.880587790437706
32;0.0382634607627276;0.504744530374128;0.809411851550993
33;-0.0319266432327696;0.787195763912641;0.661799323121172
35;0.417990965071924;0.970460638917272;1.07543878042020
36;0.402333746365032;0.980972212259870;1.00197553898218
37;-0.584716808740442;-0.111823788956673;0.983678238449979
38;-0.0873840180973753;0.240045037607879;1.10010851909299
39;0.273728279107761;0.952936223365240;0.899041642096831
40;0.283547449883300;1.38468523597353;0.652797238497926
41;-0.554692809704635;0.316161310666596;0.571285409099679
42;0.0486524996871144;0.515483727879903;1.01705252265152
43;0.277220555685070;1.09682860212636;0.793375236605184
44;-0.349579416487603;0.218699531704363;0.883052765598922
45;0.115380395319029;0.674095674638258;0.870847830848977
46;0.0748403287918436;0.319031799101957;1.26824574285614
50;-0.598885700613536;0.248213443046819;0.441423917230126
