Cluster;Subject;Spatial_Error
Cluster_1;10;-4,865017422
Cluster_1;14;-6,324712689
Cluster_1;16;-12,95625136
Cluster_1;19;-5,983441286
Cluster_1;20;10,81563192
Cluster_1;27;-3,807933899
Cluster_1;29;-8,598394742
Cluster_1;37;0,715140195
Cluster_1;41;2,085836126
Cluster_1;44;-1,43812188
Cluster_1;50;-7,520952528
Cluster_2;13;-11,61723783
Cluster_2;17;-9,262300186
Cluster_2;21;4,146974253
Cluster_2;26;-3,954971165
Cluster_2;30;-15,34421683
Cluster_2;32;-13,7952017
Cluster_2;33;0,08445764
Cluster_2;38;-11,83589672
Cluster_2;42;-3,201907218
Cluster_2;45;-3,184225331
Cluster_2;46;-0,113888339
Cluster_3;11;-7,15243952
Cluster_3;12;-14,78511037
Cluster_3;18;-7,530788027
Cluster_3;24;1,215611053
Cluster_3;25;-9,105475397
Cluster_3;31;-5,081889805
Cluster_3;35;-8,806409814
Cluster_3;36;-18,80555117
Cluster_3;39;-1,102248659
Cluster_3;40;2,973073778
Cluster_3;43;-16,59387629
